Rank,Road #,County,Begin MP,End MP,Coordinates,Latitude,Longitude
1,0089,ESTILL,2.0000,3.0000,"37.60807215380070, -83.96680644017050",37.60807215380070,-83.96680644017050
2,0011,OWSLEY,10.0000,12.0000,"37.46494880684710, -83.68388946451420",37.46494880684710,-83.68388946451420
3,0089,ESTILL,20.0000,21.0000,"37.80329299289860, -84.04840439656840",37.80329299289860,-84.04840439656840
4,0052,LEE,12.8000,13.4000,"37.57048754709270, -83.70084289126930",37.57048754709270,-83.70084289126930
5,2022,PERRY,6.0000,7.0000,"37.33435288910300, -83.48742954250470",37.33435288910300,-83.48742954250470
6,1571,ESTILL,1.0000,2.0000,"37.68260124860440, -83.92743969071450",37.68260124860440,-83.92743969071450
7,0851,ESTILL,10.0000,11.5940,"37.67397399889580, -83.95806392799870",37.67397399889580,-83.95806392799870
8,0613,POWELL,8.0000,9.6800,"37.84129946627520, -83.69086134613250",37.84129946627520,-83.69086134613250
9,3237,BREATHITT,2.0000,3.0000,"37.46611780684750, -83.47071614397020",37.46611780684750,-83.47071614397020
10,0315,BREATHITT,8.5000,11.1000,"37.47766523443110, -83.48335776123910",37.47766523443110,-83.48335776123910
11,2019,MAGOFFIN,0.0000,3.0000,"37.78241581427220, -83.09197392824820",37.78241581427220,-83.09197392824820
12,1081,MAGOFFIN,17.0000,18.0000,"37.79706243084760, -83.00630270269910",37.79706243084760,-83.00630270269910
13,0484,PERRY,2.0000,3.0000,"37.27435447707460, -83.49422077638620",37.27435447707460,-83.49422077638620
14,0613,POWELL,0.0000,9.6800,"37.84899162023700, -83.72923792465950",37.84899162023700,-83.72923792465950
15,1471,MAGOFFIN,3.0000,4.3010,"37.65128688884720, -83.01336141592690",37.65128688884720,-83.01336141592690
16,0451,PERRY,17.0000,18.0000,"37.31933833441810, -83.35411878881440",37.31933833441810,-83.35411878881440
17,0451,PERRY,19.0000,20.0000,"37.34113125371800, -83.35319773752140",37.34113125371800,-83.35319773752140
18,0030,MAGOFFIN,0.0000,3.0000,"37.63631645267060, -83.16467252064600",37.63631645267060,-83.16467252064600
19,1110,BREATHITT,5.0000,6.0000,"37.40017925156310, -83.38380067642150",37.40017925156310,-83.38380067642150
20,0451,PERRY,0.0000,1.0000,"37.22660394228980, -83.16596404857740",37.22660394228980,-83.16596404857740
21,0052,LEE,12.7560,24.4300,"37.56938016439200, -83.70361150587150",37.56938016439200,-83.70361150587150
22,0030,BREATHITT,30.0000,31.0000,"37.58413805506820, -83.21969615963460",37.58413805506820,-83.21969615963460
23,0267,PERRY,11.0000,12.2980,"37.39658736895190, -83.21244317665320",37.39658736895190,-83.21244317665320
24,0007,PERRY,9.0000,10.0000,"37.14860352630380, -83.09380026086490",37.14860352630380,-83.09380026086490
25,0851,ESTILL,0.0000,1.0000,"37.60363080655120, -83.86585659265370",37.60363080655120,-83.86585659265370
26,0851,ESTILL,0.0000,11.5940,"37.60363080655120, -83.86585659265370",37.60363080655120,-83.86585659265370
27,1639,POWELL,0.0000,1.0000,"37.75573944038330, -83.73926292961230",37.75573944038330,-83.73926292961230
28,2024,OWSLEY,0.0000,1.0000,"37.36585195944050, -83.63305206839760",37.36585195944050,-83.63305206839760
29,0267,PERRY,6.0000,8.0000,"37.33135981262210, -83.21252657709440",37.33135981262210,-83.21252657709440
30,9000,POWELL,20.9000,20.9000,"37.83036884040680, -83.88001241524360",37.83036884040680,-83.88001241524360
31,0476,PERRY,6.0000,7.0000,"37.32694042392950, -83.14595097201070",37.32694042392950,-83.14595097201070
32,0007,PERRY,6.0000,7.0000,"37.18337162416310, -83.11344836166440",37.18337162416310,-83.11344836166440
33,0378,MAGOFFIN,7.0000,8.5600,"37.70522160271900, -83.13552651577550",37.70522160271900,-83.13552651577550
34,2021,PERRY,2.0000,4.0000,"37.28269428937670, -83.28649102762660",37.28269428937670,-83.28649102762660
35,1812,BREATHITT,3.7310,13.4040,"37.59858273805980, -83.35401751668890",37.59858273805980,-83.35401751668890
36,0847,OWSLEY,3.0000,6.1000,"37.46439560293290, -83.72078943787690",37.46439560293290,-83.72078943787690
37,1165,PERRY,6.0000,7.0000,"37.17378850411140, -83.14736825062530",37.17378850411140,-83.14736825062530
38,0451,PERRY,4.0000,5.0000,"37.24292189678310, -83.20508466422580",37.24292189678310,-83.20508466422580
39,0007,PERRY,10.0000,11.0000,"37.13825089615610, -83.09983330933580",37.13825089615610,-83.09983330933580
40,0089,ESTILL,1.0000,3.0000,"37.60790266368080, -83.96728009631280",37.60790266368080,-83.96728009631280
41,1571,ESTILL,4.0000,5.5800,"37.66914746734130, -83.86585523043500",37.66914746734130,-83.86585523043500
42,0476,PERRY,5.0000,6.0000,"37.31674147877170, -83.15373714146200",37.31674147877170,-83.15373714146200
43,0191,MORGAN,3.5000,3.5000,"37.77523668064170, -83.29458528296000",37.77523668064170,-83.29458528296000
44,0542,MAGOFFIN,2.0000,5.8430,"37.59626171279490, -82.96021358023610",37.59626171279490,-82.96021358023610
45,0594,ESTILL,4.0000,5.0000,"37.60054608021800, -84.04151581007940",37.60054608021800,-84.04151581007940
46,0577,OWSLEY,0.0000,3.0000,"37.34391188380430, -83.70943104892900",37.34391188380430,-83.70943104892900
47,0541,BREATHITT,5.0000,8.2450,"37.60059033340560, -83.47921428942670",37.60059033340560,-83.47921428942670
48,0451,PERRY,13.0000,14.0000,"37.28243764136420, -83.32665097363150",37.28243764136420,-83.32665097363150
49,0007,PERRY,0.7400,0.7500,"37.20411324804880, -83.14267618694180",37.20411324804880,-83.14267618694180
50,1110,BREATHITT,0.0000,1.0000,"37.35073458181310, -83.41307942280960",37.35073458181310,-83.41307942280960
